que_id,test_id,que_desc,ans1,ans2,ans3,ans4,true_ans
1,8,Which is a standard developed by ANSI for fiber-optic networks?,SONET,SDH,Both,None,1
2,8,Which is a is a standard developed by ITU-T?,SONET,SDH,Both,None,2
3,8,SONET has defined a hierarchy of signals called?,STSs,STMs,OTUs,ODUk,1
4,8,SDH has defined a hierarchy of signals called?,STSs,STMs,OTUs,ODUk,2
5,8,Which signal is the optical modulation of an STS-n (or STM-n) signal?,OC-n,TDM-n,FDM-n,None,1
6,8,SONET defines How many layers?,two,three,four,five,3
7,8,SONET is a _______ TDM system?,asynchronous,synchronous ,statistical,Autonomous,2
8,8,A SONET system can use?,STS MUX,Regens,AD MUX,All of the above,4
9,8,SONET sends ________ frames per second?,1000,2000,4000,8000,4
10,8,In SONET each frame lasts _______ microseconds?,32,64,128,None,4
11,8,An STS-1 frame is made of ________ rows?,1,9,90,900,2
12,8,An STS-1 frame is made ______columns?,1,9,90,900,3
13,8,An STS-3 frame is made of ______ rows?,1,9,27,None,2
14,8,An STS-3 frame is made ______columns?,9,90,180,270,4
15,8,SONET network topologies can be?,Linear,Ring,Mesh,Al of the above,4
16,8,A linear SONET network can be?,Point-Point,Multi Point,Both,None,3
17,8,A ring SONET network can be?,Uni-Directional,Bi-Directional,Both,None,3
18,8,To make SONET backward-compatible with the current hierarchy its frame design includes a system of?,Ocs,STMs,STSs,VTs,4
19,8,A ________ is a repeater?,Regenrator,A/D MUX,STS Mux,STS Demux,1
20,8,__________ allow insertion and extraction of signals?,Regenrator,A/D MUX,STS Mux,None,2
21,8,A _______ is the optical link connecting two neighbor devices?,Section,Line,Path,Link,1
22,8,A ______ is the portion of the network between two multiplexers?,Section,Line,Path,None,2
23,8,A ______is the end-to-end portion of the network between two STS multiplexers?,Section,Line,Path,None,3
24,8,The ______ layer is responsible for the movement of a signal from its optical source to its optical destination?,Section,Line,Path,Photonic,3
25,8,The ____ layer is responsible for the movement of a signal across a physical line?,Section,Line,Path,Photonic,2
26,8,The ______ layer is responsible for the movement of a signal across a physical section?,Section,Line,Path,Photonic,1
27,8,The _______ layer corresponds to the physical layer of the OSI model?,Section,Line,Path,Photonic,4
28,8,An STS multiplexer is a ______ device?,Layer 1,Layer 2,Layer 3,Layer 4,4
29,8,An add/drop multiplexer is a ______ device?,Layer 1,Layer 2,Layer 3,Layer 4,3
30,8,A regenerator is a ________ device?,Layer 1,Layer 2,Layer 3,Layer 4,2
31,8,In SONET for each frame the bytes are transmitted?,from left to the right;top to bottom,from right to the left;bottom to top,from left to the right;bottom to top,from right to the left;top to bottom,1
32,8,In SONET for each byte the bits are transmitted?,from least significant to the most significant,from most significant to the least significant,two at a time,three at a time,2
33,8,Each ________in a SONET frame can carry a digitized voice channel?,bit,byte,frame,None,2
34,8,The section overhead consists of ______octets?,1,6,9,18,3
