que_id,test_id,que_desc,ans1,ans2,ans3,ans4,true_ans
68,8,What are the elements in communication system?,Transmitter-Receiver-voice-path,Sender-path-target-message,Transmitter-receiver-Digital Signal-desination,Transmitter- Medium- receiver- Data- Protocols,4
69,8,Radio Transmission uses  ----------- signal?,Voice,LowFrequency,Analog,High Frequency,3
70,8,Audio information’s can be converted into Digital form?,TRUE,FALSE,Can't Say,No enough information,1
71,8,Data traffic inside computer is ----------- form?,Electronic,Anlog/Digital,Digital,Electrical,3
72,8,In which transmission media the medium places an important role,Guided media,Analog,Digital,Unguided media,1
73,8,Which of the following are  unguided medium of transmission,Radio frequency  transmission ,Microwave transmission,Infrared transmission,All of the above,4
74,8,If the Bandwidth set in the transmission media is wrong then will the msg received properly?,TRUE,FALSE,Can't Say,No enough information,1
75,8,Why  is the conductors are twisted in Twisted pair cable?,For better transmission,To increase the EMI ,Cancel cross talk ,Both c and d,4
76,8,What are the different parts in coaxial cable?,inner conductor,dilectric spacer or insulator,metallic shield OR second conductor,All of the above,4
77,8,Coaxial cable is used manily in transmitting-------- signals?,UV,Digital,RF,IR,3
78,8,In optical Fiber for long distacnce communication------- is used?,Laser,LED,LIGHT,High frequency,1
79,8,What is meant by Omni Directional signal?,Can go in one direction,spread in all direction,Receive in single antenna,Both a and c,2
80,8,What is the range of IR Frequencies?,3*10pow(10) to 1 * 10pow(10),3 Hz  to 2 MHz,3*10pow(11) to 2*10pow(14),3THz to 2 MHz,3
81,8,What is the range of Micro wave Frequencies?,3 Ghz to 40 Ghz,2GHz to 40 Ghz,4 Hz to 40 Hz,30 Mhz to 1Ghz,2
82,8,In Rayleigh scattering losses ,vary directly with fourth power of wavelength,vary inversely with fourth power of wavelength,vary inversely with  square of wavelength,vary  proportionally to the fourth power of wavelength,2
83,8,Absorption losses are  caused due to materials inside the fiber?,TRUE,FALSE,Can't Say,No enough information,1
84,8,Dispersion is caused due to?,Loss in signal due  to  error in bandwidth,Loss in signal due to spread out in light pluse,Loss in signal due to error in impurities,None,2
85,8,In Graded index fiber the refractive index is minimum at the axis and maximum as one goes radially outward?,TRUE,FALSE,Can't Say,No enough information,2
86,8,Chromatic dispersion are caused due to?,different wavelengths of light travel at different speed to reach the destination,different wavelength of light travel at same speed but reach different destination,Same wavelength of light travel at different speed to reach same destination,None,1
87,8,What is the capacity for single strand of Optical fiber?,30 Tbps,20 Tbps,10 Tpbs,5 Tbps,1
88,8,Fiber is the limiting factor for High capacity?,TRUE,FALSE,Can't Say,No enough information,2
89,8,Which range specifies C-Band?,1910nm - 1560nm,1570nm-1610nm,1530nm -1565nm,1610nm-1400nm,3
90,8,Which range specifies L-Band?,1910nm - 1560nm,1570nm-1610nm,1530nm -1565nm,1610nm-1400nm,2
91,8,In DWDM How many channels are allowed using 50GHz  channel spacing,88,44,0,120,1
92,8,What is DWDM stands for?,Diverse Wavelength Division Multiplexing,Dual Wavelength Division Multiplexing,Dense Wavelength Division Multiplexing,Di-Polar Wavelength Division Multiplexing,3
93,8,What is CWDM stands for?,Cloud Wavelength Division Multiplexing,Coarse Wavelength Division Multiplexing,Clean Wavelength Division Multiplexing,Center Wavelength Division Multiplexing,2
94,8,CWDM typically uses ------------- spacing?,5 nm,10nm,20 nm,40 nm,3
95,8,In DWDM How many channels are allowed using 100GHz  channel spacing,88,44,0,120,2
